Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;Lisette Batista, Mara Bruchez, Cilette Cretton, Virginie Gosset, Marion Mabillard, Loise Pignat, Catherine Rebord, Véronique Rodriguez, Mirca Sigrist;Léonard Bender, Antoine Conforti, Etienne Coquoz, Johann Roduit, Laurent Salvisberg;9961af77-cc0b-4c25-96dd-2d5f0d239859
Tirage au sort;Mara Bruchez, Cilette Cretton, Jennifer Grinzinger, Mirca Sigrist;Léonard Bender, Edouard Carron, Johann Roduit;26454f0d-28ec-4072-bebe-c5d3049b2696
ordre alphabetique;Cilette Cretton, Jennifer Grinzinger, Marion Mabillard, Loise Pignat, Catherine Rebord, Mirca Sigrist;Edouard Carron, Johann Roduit, Laurent Salvisberg;ab24f477-8b72-425b-9db1-4676a062daed
Tirage au sort;Marine Addy, Mara Bruchez, Cilette Cretton, Jennifer Grinzinger, Loise Pignat, Catherine Rebord, Mirca Sigrist;Léonard Bender, Edouard Carron, Johann Roduit;0e1e742d-2888-4ec9-a87b-70bf8e850381
Je Mabstiens de repondre a cette question;Mara Bruchez, Cilette Cretton;Johann Roduit;54290f1b-e107-4afa-bc36-5bb46bb7c8b9
representativite inverse du Grand Conseil actuel;Lisette Batista, Mara Bruchez, Dominique Bugnon, Cilette Cretton, Virginie Gosset, Jennifer Grinzinger, Véronique Rodriguez, Mirca Sigrist;Léonard Bender, Edouard Carron, Antoine Conforti, Tiago Gomez, Johann Roduit, Laurent Salvisberg;1be32dc0-5039-45e4-b6ef-2d0d34fa3771
Je Mabstiens de repondre a cette question;Lisette Batista, Mara Bruchez, Dominique Bugnon, Marie-Bertrande Duay, Virginie Gosset, Michelle Grandjean Böhm, Loise Pignat, Véronique Rodriguez;Léonard Bender, Edouard Carron, Etienne Coquoz, Johann Roduit;e26d8ecd-8ce0-4bc4-b4b5-3185e11da1e1
Tirage au sort;Cilette Cretton, Jennifer Grinzinger, Véronique Zumstein;Etienne Coquoz, Johann Roduit;38828066-f7be-4e07-850e-c3dd8ace0db4
Voix recues lors de la primaire;Marion Mabillard;Antoine Conforti;f8a66443-032e-4d17-a7f0-b96e4c1be707
ordre alphabetique;Marine Addy, Marion Mabillard, Loise Pignat;;2c467d26-5886-4ac6-b64d-c5e8ea2e2d12
ordre alphabetique;Mara Bruchez, Cilette Cretton, Michelle Grandjean Böhm, Marion Mabillard, Véronique Zumstein;Léonard Bender, Edouard Carron, Antoine Conforti, Etienne Coquoz, Pascal Crettenand, Tiago Gomez, Johann Roduit, Laurent Salvisberg;ff97dcc4-6fa3-46c5-afe4-c1826623c260
