Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Caroline Mariétan, Yasmina Mudry, Claudine Oggier, Christel Rey-Mermet;André Bonvin, Robert Burri, Bertrand Girard, Matthieu Monnard, Jo Piller, Joël Rey-Mermet, Johan Rochel, Christian Vial;2accbc49-9fff-4250-a079-563fd22c8c2d
ordre alphabetique;Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Hélène Gonet, Caroline Mariétan;André Bonvin, Didier Cachat, Bertrand Girard, Nicolas Muzzetto, Jörg Rickenmann;194ee49f-e6b4-4dbd-abb6-3d7d33fe38a3
Tirage au sort;Christel Rey-Mermet;Joël Rey-Mermet;c9151344-bbce-416a-bc51-3e49d3d86cba
Tirage au sort;Aferdita Bogiqi;Johan Rochel;48d09f11-e0b3-4239-bebf-6362e7228e1b
Je Mabstiens de repondre a cette question;Sophie Ducrey;Nicolas Muzzetto;3be3f3d8-95c7-4395-aaee-043c4036d583
Je Mabstiens de repondre a cette question;Sophie Ducrey, Amel Mahfoudh;Thierry Bueche, Robert Burri, Nicolas Muzzetto, Bernard Oberholzer, Jo Piller;b3c83335-2d94-47c0-b54a-a5aa290266a1
ordre alphabetique;Sophie Ducrey;Johan Rochel;afd5efb1-9e5c-4fec-842c-211625a6ce90
Voix recues lors de la primaire;Yasmina Mudry;Matthieu Monnard, Joël Rey-Mermet, Christian Vial;b3ae3e5a-b909-4d27-9d9a-c573dc7c160e
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Françoise Gay-Truffer, Caroline Mariétan, Yasmina Mudry, Claudine Oggier, Christel Rey-Mermet;André Bonvin, Robert Burri, Bertrand Girard, Matthieu Monnard, Jo Piller, Joël Rey-Mermet, Johan Rochel, Christian Vial;3c031f6d-e852-47f6-accd-3d7186e77e7b
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Hélène Gonet, Caroline Mariétan, Claudine Oggier, Christel Rey-Mermet;Thierry Bueche, Robert Burri, Bertrand Girard, Jérome Lehmann, Matthieu Monnard, Jo Piller, Jörg Rickenmann, Johan Rochel;a6b578db-5418-4b1b-adfd-4439d6f4cfb6
Voix recues lors de la primaire;Ekaterina Lenoir, Claudine Oggier;Natan Rippa, Christian Vial;23fbccb1-3db0-4a1a-81b6-db4420c46131
Voix recues lors de la primaire;Aferdita Bogiqi, Amel Mahfoudh;Johan Rochel;d33b2ac3-0295-4932-b850-9cde9a81c148
Tirage au sort;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Ekaterina Lenoir, Amel Mahfoudh, Claudine Oggier;Bertrand Girard, Nicolas Muzzetto, Bernard Oberholzer, Yves Puippe, Jörg Rickenmann, Johan Rochel, Christian Vial;0bc9263e-a0c6-4218-900e-6c42824132b5
Je Mabstiens de repondre a cette question;;Matthieu Monnard;2c2f7dc2-917b-4d42-a457-833422d8d67d
Je Mabstiens de repondre a cette question;Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Hélène Gonet;Robert Burri, Didier Cachat, Jérome Lehmann;b26d3868-39e0-4f78-93da-8457a0257c8d
ordre alphabetique;Aferdita Bogiqi, Catherine Breu, Françoise Gay-Truffer, Ekaterina Lenoir, Yasmina Mudry, Christel Rey-Mermet;André Bonvin, Matthieu Monnard, Johan Rochel;39847de4-229f-4d36-9b4d-fbe518866990
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Hélène Gonet, Caroline Mariétan, Christel Rey-Mermet;Robert Burri, Bertrand Girard, Matthieu Monnard, Bernard Oberholzer, Jo Piller, Johan Rochel;e9876b1b-2c74-452f-ab7a-5aabbfb7e9f4
Voix recues lors de la primaire;Catherine Breu;Johan Rochel;b4cfeba5-2e4d-4be1-a13b-99059168acda
Voix recues lors de la primaire;Christel Rey-Mermet;Christian Vial;577e4dd1-1784-4e3a-b9bd-3c2f32e4db89
Je Mabstiens de repondre a cette question;;André Bonvin, Robert Burri, Johan Rochel;01d02f5d-47d2-4ffa-824a-3e6e27c4171d
Voix recues lors de la primaire;;Christian Vial;c534f651-a6af-4e7e-9785-e662a6e1c869
ordre alphabetique;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Hélène Gonet, Caroline Mariétan, Yasmina Mudry, Claudine Oggier, Christel Rey-Mermet;Thierry Bueche, Robert Burri, Bertrand Girard, Jérome Lehmann, Nicolas Muzzetto, Jo Piller, Natan Rippa, Johan Rochel;6c38920b-d22a-4c8f-a812-e45b087dee94
Tirage au sort;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Amel Mahfoudh, Caroline Mariétan, Christel Rey-Mermet;Natan Rippa, Johan Rochel;d3dfca3d-e7c6-49eb-8a12-38cc4dbd1daf
Voix recues lors de la primaire;Caroline Mariétan;André Bonvin, Robert Burri, Didier Cachat;7b1ff28c-2bfd-48ac-97ff-35b1c5c6786e
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Hélène Gonet, Ekaterina Lenoir, Caroline Mariétan, Christel Rey-Mermet;Thierry Bueche, Bertrand Girard, Jérome Lehmann, Matthieu Monnard, Nicolas Muzzetto, Johan Rochel;4ae6d412-51b7-4262-9608-1c38ce5ae27b
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Françoise Gay-Truffer, Hélène Gonet, Amel Mahfoudh, Yasmina Mudry, Christel Rey-Mermet;André Bonvin, Robert Burri, Didier Cachat, Bertrand Girard, Matthieu Monnard, Bernard Oberholzer, Natan Rippa, Johan Rochel;a7a2fc40-7f4f-42fc-8833-a8606a3fd0bd
Je Mabstiens de repondre a cette question;Sophie Ducrey;;9f693bcd-7860-43f8-ba88-14df9107aeaa
Je Mabstiens de repondre a cette question;;Nicolas Muzzetto, Bernard Oberholzer;e4cdbb5a-b504-4ca9-a365-a590f3070d7b
representativite inverse du Grand Conseil actuel;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Amel Mahfoudh, Caroline Mariétan, Christel Rey-Mermet;Thierry Bueche, Robert Burri, Bertrand Girard, Matthieu Monnard, Nicolas Muzzetto, Jo Piller, Jörg Rickenmann, Johan Rochel;dabd1a11-d590-458e-95c7-9fde2ac95d79
